DeliveryRatio,AvgDelay,AvgCriticalDelay,OverheadRatio,BufferDrops
0.8127090301003345,906.6378600823045,931.3108108108108,28.761316872427983,0
0.8452012383900929,886.4358974358975,920.855421686747,25.846153846153847,0
0.846875,946.4132841328413,910.4,29.394833948339482,0
0.8947368421052632,861.2973856209151,872.6893203883495,26.065359477124183,0
0.8405797101449275,890.625,911.5342465753424,24.862068965517242,0
0.8541666666666666,861.3623693379791,917.2375,26.407665505226483,0
0.8,839.0344827586207,818.0675675675676,26.29310344827586,0
0.7793594306049823,918.0958904109589,908.2816901408451,27.557077625570777,0
0.8700361010830325,917.6639004149378,953.4202898550725,26.643153526970956,0
0.8686567164179104,982.9587628865979,985.1494252873563,26.216494845360824,0
